"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"13681",201000,"Powiat bolesławiecki",2002,NA
"13682",202000,"Powiat dzierżoniowski",2002,NA
"13683",203000,"Powiat głogowski",2002,NA
"13684",204000,"Powiat górowski",2002,NA
"13685",205000,"Powiat jaworski",2002,NA
"13686",206000,"Powiat jeleniogórski",2002,NA
"13687",207000,"Powiat kamiennogórski",2002,NA
"13688",208000,"Powiat kłodzki",2002,NA
"13689",209000,"Powiat legnicki",2002,NA
"13690",210000,"Powiat lubański",2002,NA
"13691",211000,"Powiat lubiński",2002,NA
"13692",212000,"Powiat lwówecki",2002,NA
"13693",213000,"Powiat milicki",2002,NA
"13694",214000,"Powiat oleśnicki",2002,NA
"13695",215000,"Powiat oławski",2002,NA
"13696",216000,"Powiat polkowicki",2002,NA
"13697",217000,"Powiat strzeliński",2002,NA
"13698",218000,"Powiat średzki",2002,NA
"13699",219000,"Powiat świdnicki",2002,NA
"13700",220000,"Powiat trzebnicki",2002,NA
"13701",221000,"Powiat wałbrzyski",2002,NA
"13702",222000,"Powiat wołowski",2002,NA
"13703",223000,"Powiat wrocławski",2002,NA
"13704",224000,"Powiat ząbkowicki",2002,NA
"13705",225000,"Powiat zgorzelecki",2002,NA
"13706",226000,"Powiat złotoryjski",2002,NA
"13707",261000,"Powiat m.Jelenia Góra",2002,NA
"13708",262000,"Powiat m.Legnica",2002,NA
"13709",264000,"Powiat m.Wrocław",2002,NA
"13710",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"13711",401000,"Powiat aleksandrowski",2002,NA
"13712",402000,"Powiat brodnicki",2002,NA
"13713",403000,"Powiat bydgoski",2002,NA
"13714",404000,"Powiat chełmiński",2002,NA
"13715",405000,"Powiat golubsko-dobrzyński",2002,NA
"13716",406000,"Powiat grudziądzki",2002,NA
"13717",407000,"Powiat inowrocławski",2002,NA
"13718",408000,"Powiat lipnowski",2002,NA
"13719",409000,"Powiat mogileński",2002,NA
"13720",410000,"Powiat nakielski",2002,NA
"13721",411000,"Powiat radziejowski",2002,NA
"13722",412000,"Powiat rypiński",2002,NA
"13723",413000,"Powiat sępoleński",2002,NA
"13724",414000,"Powiat świecki",2002,NA
"13725",415000,"Powiat toruński",2002,NA
"13726",416000,"Powiat tucholski",2002,NA
"13727",417000,"Powiat wąbrzeski",2002,NA
"13728",418000,"Powiat włocławski",2002,NA
"13729",419000,"Powiat żniński",2002,NA
"13730",461000,"Powiat m.Bydgoszcz",2002,NA
"13731",462000,"Powiat m.Grudziądz",2002,NA
"13732",463000,"Powiat m.Toruń",2002,NA
"13733",464000,"Powiat m.Włocławek",2002,NA
"13734",601000,"Powiat bialski",2002,NA
"13735",602000,"Powiat biłgorajski",2002,NA
"13736",603000,"Powiat chełmski",2002,NA
"13737",604000,"Powiat hrubieszowski",2002,NA
"13738",605000,"Powiat janowski",2002,NA
"13739",606000,"Powiat krasnostawski",2002,NA
"13740",607000,"Powiat kraśnicki",2002,NA
"13741",608000,"Powiat lubartowski",2002,NA
"13742",609000,"Powiat lubelski",2002,NA
"13743",610000,"Powiat łęczyński",2002,NA
"13744",611000,"Powiat łukowski",2002,NA
"13745",612000,"Powiat opolski",2002,NA
"13746",613000,"Powiat parczewski",2002,NA
"13747",614000,"Powiat puławski",2002,NA
"13748",615000,"Powiat radzyński",2002,NA
"13749",616000,"Powiat rycki",2002,NA
"13750",617000,"Powiat świdnicki",2002,NA
"13751",618000,"Powiat tomaszowski",2002,NA
"13752",619000,"Powiat włodawski",2002,NA
"13753",620000,"Powiat zamojski",2002,NA
"13754",661000,"Powiat m.Biała Podlaska",2002,NA
"13755",662000,"Powiat m.Chełm",2002,NA
"13756",663000,"Powiat m.Lublin",2002,NA
"13757",664000,"Powiat m.Zamość",2002,NA
"13758",801000,"Powiat gorzowski",2002,NA
"13759",802000,"Powiat krośnieński",2002,NA
"13760",803000,"Powiat międzyrzecki",2002,NA
"13761",804000,"Powiat nowosolski",2002,NA
