"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_wypadki_drogowe_na_100_tys_ludnosci_osoba"
"1",201000,"Powiat bolesławiecki",2002,NA
"2",202000,"Powiat dzierżoniowski",2002,NA
"3",203000,"Powiat głogowski",2002,NA
"4",204000,"Powiat górowski",2002,NA
"5",205000,"Powiat jaworski",2002,NA
"6",206000,"Powiat jeleniogórski",2002,NA
"7",207000,"Powiat kamiennogórski",2002,NA
"8",208000,"Powiat kłodzki",2002,NA
"9",209000,"Powiat legnicki",2002,NA
"10",210000,"Powiat lubański",2002,NA
"11",211000,"Powiat lubiński",2002,NA
"12",212000,"Powiat lwówecki",2002,NA
"13",213000,"Powiat milicki",2002,NA
"14",214000,"Powiat oleśnicki",2002,NA
"15",215000,"Powiat oławski",2002,NA
"16",216000,"Powiat polkowicki",2002,NA
"17",217000,"Powiat strzeliński",2002,NA
"18",218000,"Powiat średzki",2002,NA
"19",219000,"Powiat świdnicki",2002,NA
"20",220000,"Powiat trzebnicki",2002,NA
"21",221000,"Powiat wałbrzyski",2002,NA
"22",222000,"Powiat wołowski",2002,NA
"23",223000,"Powiat wrocławski",2002,NA
"24",224000,"Powiat ząbkowicki",2002,NA
"25",225000,"Powiat zgorzelecki",2002,NA
"26",226000,"Powiat złotoryjski",2002,NA
"27",261000,"Powiat m.Jelenia Góra",2002,NA
"28",262000,"Powiat m.Legnica",2002,NA
"29",264000,"Powiat m.Wrocław",2002,NA
"30",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"31",401000,"Powiat aleksandrowski",2002,NA
"32",402000,"Powiat brodnicki",2002,NA
"33",403000,"Powiat bydgoski",2002,NA
"34",404000,"Powiat chełmiński",2002,NA
"35",405000,"Powiat golubsko-dobrzyński",2002,NA
"36",406000,"Powiat grudziądzki",2002,NA
"37",407000,"Powiat inowrocławski",2002,NA
"38",408000,"Powiat lipnowski",2002,NA
"39",409000,"Powiat mogileński",2002,NA
"40",410000,"Powiat nakielski",2002,NA
"41",411000,"Powiat radziejowski",2002,NA
"42",412000,"Powiat rypiński",2002,NA
"43",413000,"Powiat sępoleński",2002,NA
"44",414000,"Powiat świecki",2002,NA
"45",415000,"Powiat toruński",2002,NA
"46",416000,"Powiat tucholski",2002,NA
"47",417000,"Powiat wąbrzeski",2002,NA
"48",418000,"Powiat włocławski",2002,NA
"49",419000,"Powiat żniński",2002,NA
"50",461000,"Powiat m.Bydgoszcz",2002,NA
"51",462000,"Powiat m.Grudziądz",2002,NA
"52",463000,"Powiat m.Toruń",2002,NA
"53",464000,"Powiat m.Włocławek",2002,NA
"54",601000,"Powiat bialski",2002,NA
"55",602000,"Powiat biłgorajski",2002,NA
"56",603000,"Powiat chełmski",2002,NA
"57",604000,"Powiat hrubieszowski",2002,NA
"58",605000,"Powiat janowski",2002,NA
"59",606000,"Powiat krasnostawski",2002,NA
"60",607000,"Powiat kraśnicki",2002,NA
"61",608000,"Powiat lubartowski",2002,NA
"62",609000,"Powiat lubelski",2002,NA
"63",610000,"Powiat łęczyński",2002,NA
"64",611000,"Powiat łukowski",2002,NA
"65",612000,"Powiat opolski",2002,NA
"66",613000,"Powiat parczewski",2002,NA
"67",614000,"Powiat puławski",2002,NA
"68",615000,"Powiat radzyński",2002,NA
"69",616000,"Powiat rycki",2002,NA
"70",617000,"Powiat świdnicki",2002,NA
"71",618000,"Powiat tomaszowski",2002,NA
"72",619000,"Powiat włodawski",2002,NA
"73",620000,"Powiat zamojski",2002,NA
"74",661000,"Powiat m.Biała Podlaska",2002,NA
"75",662000,"Powiat m.Chełm",2002,NA
"76",663000,"Powiat m.Lublin",2002,NA
"77",664000,"Powiat m.Zamość",2002,NA
"78",801000,"Powiat gorzowski",2002,NA
"79",802000,"Powiat krośnieński",2002,NA
"80",803000,"Powiat międzyrzecki",2002,NA
"81",804000,"Powiat nowosolski",2002,NA
"82",805000,"Powiat słubicki",2002,NA
"83",806000,"Powiat strzelecko-drezdenecki",2002,NA
"84",807000,"Powiat sulęciński",2002,NA
"85",808000,"Powiat świebodziński",2002,NA
"86",809000,"Powiat zielonogórski",2002,NA
"87",810000,"Powiat żagański",2002,NA
"88",811000,"Powiat żarski",2002,NA
"89",812000,"Powiat wschowski",2002,NA
"90",861000,"Powiat m.Gorzów Wielkopolski",2002,NA
"91",862000,"Powiat m.Zielona Góra",2002,NA
"92",1001000,"Powiat bełchatowski",2002,NA
"93",1002000,"Powiat kutnowski",2002,NA
"94",1003000,"Powiat łaski",2002,NA
"95",1004000,"Powiat łęczycki",2002,NA
