"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_ogolem_zl"
"1",201000,"Powiat bolesławiecki",1999,1.50297254615106e-316
"2",202000,"Powiat dzierżoniowski",1999,2.0826596201969e-316
"3",203000,"Powiat głogowski",1999,3.11957693001234e-316
"4",204000,"Powiat górowski",1999,7.92187771529165e-317
"5",205000,"Powiat jaworski",1999,1.2981728004829e-316
"6",206000,"Powiat jeleniogórski",1999,1.17687770816629e-316
"7",207000,"Powiat kamiennogórski",1999,9.08034357310002e-317
"8",208000,"Powiat kłodzki",1999,4.10737171358345e-316
"9",209000,"Powiat legnicki",1999,1.20344860800619e-316
"10",210000,"Powiat lubański",1999,1.17778713480059e-316
"11",211000,"Powiat lubiński",1999,1.93831666194118e-316
"12",212000,"Powiat lwówecki",1999,1.41410723113556e-316
"13",213000,"Powiat milicki",1999,2.12692780325115e-316
"14",214000,"Powiat oleśnicki",1999,2.10924316811734e-316
"15",215000,"Powiat oławski",1999,1.25179742744914e-316
"16",216000,"Powiat polkowicki",1999,8.81885883597289e-317
"17",217000,"Powiat strzeliński",1999,1.00904375649371e-316
"18",218000,"Powiat średzki",1999,7.24288873293413e-317
"19",219000,"Powiat świdnicki",1999,3.63629168140993e-316
"20",220000,"Powiat trzebnicki",1999,2.042523061106e-316
"21",221000,"Powiat wałbrzyski",1999,6.48640258963254e-317
"22",222000,"Powiat wołowski",1999,1.08324065773669e-316
"23",223000,"Powiat wrocławski",1999,9.44376591053969e-317
"24",224000,"Powiat ząbkowicki",1999,1.92251140311759e-316
"25",225000,"Powiat zgorzelecki",1999,2.03310513235841e-316
"26",226000,"Powiat złotoryjski",1999,9.93110534667846e-317
"27",401000,"Powiat aleksandrowski",1999,1.18687685573965e-316
"28",402000,"Powiat brodnicki",1999,1.13030900724531e-316
"29",403000,"Powiat bydgoski",1999,8.49890785251385e-317
"30",404000,"Powiat chełmiński",1999,1.00312603581408e-316
"31",405000,"Powiat golubsko-dobrzyński",1999,7.644352148841e-317
"32",406000,"Powiat grudziądzki",1999,3.42613527600956e-317
"33",407000,"Powiat inowrocławski",1999,3.42269643089481e-316
"34",408000,"Powiat lipnowski",1999,1.20472334677903e-316
"35",409000,"Powiat mogileński",1999,1.12611854006354e-316
"36",410000,"Powiat nakielski",1999,1.44436316900154e-316
"37",411000,"Powiat radziejowski",1999,8.53577997166298e-317
"38",412000,"Powiat rypiński",1999,7.91682441186599e-317
"39",413000,"Powiat sępoleński",1999,9.60286888233866e-317
"40",414000,"Powiat świecki",1999,1.46528516927972e-316
"41",415000,"Powiat toruński",1999,9.89707361092727e-317
"42",416000,"Powiat tucholski",1999,1.07691800085373e-316
"43",417000,"Powiat wąbrzeski",1999,7.75207031720989e-317
"44",418000,"Powiat włocławski",1999,1.04447438971454e-316
"45",419000,"Powiat żniński",1999,1.30551881553809e-316
"46",601000,"Powiat bialski",1999,1.83176661297875e-316
"47",602000,"Powiat biłgorajski",1999,2.23256689397577e-316
"48",603000,"Powiat chełmski",1999,9.81871776389072e-317
"49",604000,"Powiat hrubieszowski",1999,1.33346889962836e-316
"50",605000,"Powiat janowski",1999,9.66441068731594e-317
"51",606000,"Powiat krasnostawski",1999,1.81654321526627e-316
