"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_bieZace_ogolem_zl"
"19846",201000,"Powiat bolesławiecki",1999,NA
"19847",202000,"Powiat dzierżoniowski",1999,NA
"19848",203000,"Powiat głogowski",1999,NA
"19849",204000,"Powiat górowski",1999,NA
"19850",205000,"Powiat jaworski",1999,NA
"19851",206000,"Powiat jeleniogórski",1999,NA
"19852",207000,"Powiat kamiennogórski",1999,NA
"19853",208000,"Powiat kłodzki",1999,NA
"19854",209000,"Powiat legnicki",1999,NA
"19855",210000,"Powiat lubański",1999,NA
"19856",211000,"Powiat lubiński",1999,NA
"19857",212000,"Powiat lwówecki",1999,NA
"19858",213000,"Powiat milicki",1999,NA
"19859",214000,"Powiat oleśnicki",1999,NA
"19860",215000,"Powiat oławski",1999,NA
"19861",216000,"Powiat polkowicki",1999,NA
"19862",217000,"Powiat strzeliński",1999,NA
"19863",218000,"Powiat średzki",1999,NA
"19864",219000,"Powiat świdnicki",1999,NA
"19865",220000,"Powiat trzebnicki",1999,NA
"19866",221000,"Powiat wałbrzyski",1999,NA
"19867",222000,"Powiat wołowski",1999,NA
"19868",223000,"Powiat wrocławski",1999,NA
"19869",224000,"Powiat ząbkowicki",1999,NA
"19870",225000,"Powiat zgorzelecki",1999,NA
"19871",226000,"Powiat złotoryjski",1999,NA
"19872",401000,"Powiat aleksandrowski",1999,NA
"19873",402000,"Powiat brodnicki",1999,NA
"19874",403000,"Powiat bydgoski",1999,NA
"19875",404000,"Powiat chełmiński",1999,NA
"19876",405000,"Powiat golubsko-dobrzyński",1999,NA
"19877",406000,"Powiat grudziądzki",1999,NA
"19878",407000,"Powiat inowrocławski",1999,NA
"19879",408000,"Powiat lipnowski",1999,NA
"19880",409000,"Powiat mogileński",1999,NA
"19881",410000,"Powiat nakielski",1999,NA
"19882",411000,"Powiat radziejowski",1999,NA
"19883",412000,"Powiat rypiński",1999,NA
"19884",413000,"Powiat sępoleński",1999,NA
"19885",414000,"Powiat świecki",1999,NA
"19886",415000,"Powiat toruński",1999,NA
"19887",416000,"Powiat tucholski",1999,NA
"19888",417000,"Powiat wąbrzeski",1999,NA
"19889",418000,"Powiat włocławski",1999,NA
"19890",419000,"Powiat żniński",1999,NA
"19891",601000,"Powiat bialski",1999,NA
"19892",602000,"Powiat biłgorajski",1999,NA
"19893",603000,"Powiat chełmski",1999,NA
"19894",604000,"Powiat hrubieszowski",1999,NA
"19895",605000,"Powiat janowski",1999,NA
"19896",606000,"Powiat krasnostawski",1999,NA
"19897",607000,"Powiat kraśnicki",1999,NA
"19898",608000,"Powiat lubartowski",1999,NA
"19899",609000,"Powiat lubelski",1999,NA
"19900",610000,"Powiat łęczyński",1999,NA
"19901",611000,"Powiat łukowski",1999,NA
"19902",612000,"Powiat opolski",1999,NA
"19903",613000,"Powiat parczewski",1999,NA
"19904",614000,"Powiat puławski",1999,NA
"19905",615000,"Powiat radzyński",1999,NA
"19906",616000,"Powiat rycki",1999,NA
"19907",617000,"Powiat świdnicki",1999,NA
"19908",618000,"Powiat tomaszowski",1999,NA
"19909",619000,"Powiat włodawski",1999,NA
"19910",620000,"Powiat zamojski",1999,NA
"19911",801000,"Powiat gorzowski",1999,NA
"19912",802000,"Powiat krośnieński",1999,NA
"19913",803000,"Powiat międzyrzecki",1999,NA
"19914",804000,"Powiat nowosolski",1999,NA
"19915",805000,"Powiat słubicki",1999,NA
"19916",806000,"Powiat strzelecko-drezdenecki",1999,NA
"19917",807000,"Powiat sulęciński",1999,NA
"19918",808000,"Powiat świebodziński",1999,NA
"19919",809000,"Powiat zielonogórski",1999,NA
"19920",810000,"Powiat żagański",1999,NA
"19921",811000,"Powiat żarski",1999,NA
"19922",812000,"Powiat wschowski",1999,NA
"19923",1001000,"Powiat bełchatowski",1999,NA
"19924",1002000,"Powiat kutnowski",1999,NA
"19925",1003000,"Powiat łaski",1999,NA
"19926",1004000,"Powiat łęczycki",1999,NA
"19927",1005000,"Powiat łowicki",1999,NA
"19928",1006000,"Powiat łódzki wschodni",1999,NA
"19929",1007000,"Powiat opoczyński",1999,NA
"19930",1008000,"Powiat pabianicki",1999,NA
"19931",1009000,"Powiat pajęczański",1999,NA
"19932",1010000,"Powiat piotrkowski",1999,NA
"19933",1011000,"Powiat poddębicki",1999,NA
"19934",1012000,"Powiat radomszczański",1999,NA
"19935",1013000,"Powiat rawski",1999,NA
"19936",1014000,"Powiat sieradzki",1999,NA
"19937",1015000,"Powiat skierniewicki",1999,NA
"19938",1016000,"Powiat tomaszowski",1999,NA
"19939",1017000,"Powiat wieluński",1999,NA
"19940",1018000,"Powiat wieruszowski",1999,NA
"19941",1019000,"Powiat zduńskowolski",1999,NA
"19942",1020000,"Powiat zgierski",1999,NA
"19943",1021000,"Powiat brzeziński",1999,NA
"19944",1201000,"Powiat bocheński",1999,NA
"19945",1202000,"Powiat brzeski",1999,NA
"19946",1203000,"Powiat chrzanowski",1999,NA
"19947",1204000,"Powiat dąbrowski",1999,NA
"19948",1205000,"Powiat gorlicki",1999,NA
"19949",1206000,"Powiat krakowski",1999,NA
"19950",1207000,"Powiat limanowski",1999,NA
"19951",1208000,"Powiat miechowski",1999,NA
"19952",1209000,"Powiat myślenicki",1999,NA
"19953",1210000,"Powiat nowosądecki",1999,NA
"19954",1211000,"Powiat nowotarski",1999,NA
"19955",1212000,"Powiat olkuski",1999,NA
"19956",1213000,"Powiat oświęcimski",1999,NA
"19957",1214000,"Powiat proszowicki",1999,NA
"19958",1215000,"Powiat suski",1999,NA
"19959",1216000,"Powiat tarnowski",1999,NA
"19960",1217000,"Powiat tatrzański",1999,NA
"19961",1218000,"Powiat wadowicki",1999,NA
"19962",1219000,"Powiat wielicki",1999,NA
"19963",1401000,"Powiat białobrzeski",1999,NA
"19964",1402000,"Powiat ciechanowski",1999,NA
"19965",1403000,"Powiat garwoliński",1999,NA
"19966",1404000,"Powiat gostyniński",1999,NA
"19967",1405000,"Powiat grodziski",1999,NA
"19968",1406000,"Powiat grójecki",1999,NA
"19969",1407000,"Powiat kozienicki",1999,NA
"19970",1408000,"Powiat legionowski",1999,NA
"19971",1409000,"Powiat lipski",1999,NA
"19972",1410000,"Powiat łosicki",1999,NA
"19973",1411000,"Powiat makowski",1999,NA
"19974",1412000,"Powiat miński",1999,NA
"19975",1413000,"Powiat mławski",1999,NA
"19976",1414000,"Powiat nowodworski",1999,NA
"19977",1415000,"Powiat ostrołęcki",1999,NA
"19978",1416000,"Powiat ostrowski",1999,NA
"19979",1417000,"Powiat otwocki",1999,NA
"19980",1418000,"Powiat piaseczyński",1999,NA
"19981",1419000,"Powiat płocki",1999,NA
"19982",1420000,"Powiat płoński",1999,NA
"19983",1421000,"Powiat pruszkowski",1999,NA
"19984",1422000,"Powiat przasnyski",1999,NA
"19985",1423000,"Powiat przysuski",1999,NA
"19986",1424000,"Powiat pułtuski",1999,NA
"19987",1425000,"Powiat radomski",1999,NA
"19988",1426000,"Powiat siedlecki",1999,NA
"19989",1427000,"Powiat sierpecki",1999,NA
"19990",1428000,"Powiat sochaczewski",1999,NA
"19991",1429000,"Powiat sokołowski",1999,NA
"19992",1430000,"Powiat szydłowiecki",1999,NA
"19993",1431000,"Powiat warszawski",1999,NA
"19994",1432000,"Powiat warszawski zachodni",1999,NA
"19995",1433000,"Powiat węgrowski",1999,NA
"19996",1434000,"Powiat wołomiński",1999,NA
"19997",1435000,"Powiat wyszkowski",1999,NA
"19998",1436000,"Powiat zwoleński",1999,NA
"19999",1437000,"Powiat żuromiński",1999,NA
"20000",1438000,"Powiat żyrardowski",1999,NA
"20001",1601000,"Powiat brzeski",1999,NA
