"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_majatkowe_inwestycyjne_zl"
"13231",201000,"Powiat bolesławiecki",1999,2806582
"13232",202000,"Powiat dzierżoniowski",1999,481580
"13233",203000,"Powiat głogowski",1999,18064023
"13234",204000,"Powiat górowski",1999,661177
"13235",205000,"Powiat jaworski",1999,625308
"13236",206000,"Powiat jeleniogórski",1999,1087326
"13237",207000,"Powiat kamiennogórski",1999,758660
"13238",208000,"Powiat kłodzki",1999,3850397
"13239",209000,"Powiat legnicki",1999,749832
"13240",210000,"Powiat lubański",1999,500457
"13241",211000,"Powiat lubiński",1999,190269
"13242",212000,"Powiat lwówecki",1999,578788
"13243",213000,"Powiat milicki",1999,18105129
"13244",214000,"Powiat oleśnicki",1999,2373262
"13245",215000,"Powiat oławski",1999,978346
"13246",216000,"Powiat polkowicki",1999,212090
"13247",217000,"Powiat strzeliński",1999,669520
"13248",218000,"Powiat średzki",1999,723100
"13249",219000,"Powiat świdnicki",1999,11108911
"13250",220000,"Powiat trzebnicki",1999,16794780
"13251",221000,"Powiat wałbrzyski",1999,403075
"13252",222000,"Powiat wołowski",1999,1136555
"13253",223000,"Powiat wrocławski",1999,969730
"13254",224000,"Powiat ząbkowicki",1999,312098
"13255",225000,"Powiat zgorzelecki",1999,1388204
"13256",226000,"Powiat złotoryjski",1999,894417
"13257",401000,"Powiat aleksandrowski",1999,1195783
"13258",402000,"Powiat brodnicki",1999,60757
"13259",403000,"Powiat bydgoski",1999,378690
"13260",404000,"Powiat chełmiński",1999,492493
"13261",405000,"Powiat golubsko-dobrzyński",1999,354805
"13262",406000,"Powiat grudziądzki",1999,40323
"13263",407000,"Powiat inowrocławski",1999,1016524
"13264",408000,"Powiat lipnowski",1999,417965
"13265",409000,"Powiat mogileński",1999,542429
"13266",410000,"Powiat nakielski",1999,401031
"13267",411000,"Powiat radziejowski",1999,217444
"13268",412000,"Powiat rypiński",1999,845528
"13269",413000,"Powiat sępoleński",1999,241046
"13270",414000,"Powiat świecki",1999,595096
"13271",415000,"Powiat toruński",1999,1352366
"13272",416000,"Powiat tucholski",1999,241799
"13273",417000,"Powiat wąbrzeski",1999,222441
"13274",418000,"Powiat włocławski",1999,769300
"13275",419000,"Powiat żniński",1999,777639
"13276",601000,"Powiat bialski",1999,2095766
"13277",602000,"Powiat biłgorajski",1999,5185623
"13278",603000,"Powiat chełmski",1999,440905
"13279",604000,"Powiat hrubieszowski",1999,250317
"13280",605000,"Powiat janowski",1999,427059
"13281",606000,"Powiat krasnostawski",1999,1620102
"13282",607000,"Powiat kraśnicki",1999,915002
"13283",608000,"Powiat lubartowski",1999,1727015
"13284",609000,"Powiat lubelski",1999,1321616
"13285",610000,"Powiat łęczyński",1999,104541
"13286",611000,"Powiat łukowski",1999,3619954
"13287",612000,"Powiat opolski",1999,759293
"13288",613000,"Powiat parczewski",1999,751812
"13289",614000,"Powiat puławski",1999,523580
"13290",615000,"Powiat radzyński",1999,1973920
"13291",616000,"Powiat rycki",1999,1032984
"13292",617000,"Powiat świdnicki",1999,495742
"13293",618000,"Powiat tomaszowski",1999,2764713
"13294",619000,"Powiat włodawski",1999,114009
"13295",620000,"Powiat zamojski",1999,934849
"13296",801000,"Powiat gorzowski",1999,508853
"13297",802000,"Powiat krośnieński",1999,1071224
"13298",803000,"Powiat międzyrzecki",1999,252654
"13299",804000,"Powiat nowosolski",1999,1663270
"13300",805000,"Powiat słubicki",1999,283028
"13301",806000,"Powiat strzelecko-drezdenecki",1999,1107676
"13302",807000,"Powiat sulęciński",1999,690328
"13303",808000,"Powiat świebodziński",1999,6135662
"13304",809000,"Powiat zielonogórski",1999,5194452
"13305",810000,"Powiat żagański",1999,2748944
"13306",811000,"Powiat żarski",1999,2457742
"13307",812000,"Powiat wschowski",1999,NA
"13308",1001000,"Powiat bełchatowski",1999,942789
"13309",1002000,"Powiat kutnowski",1999,243923
"13310",1003000,"Powiat łaski",1999,736700
"13311",1004000,"Powiat łęczycki",1999,245816
"13312",1005000,"Powiat łowicki",1999,1924650
"13313",1006000,"Powiat łódzki wschodni",1999,6925432
"13314",1007000,"Powiat opoczyński",1999,692423
"13315",1008000,"Powiat pabianicki",1999,360931
"13316",1009000,"Powiat pajęczański",1999,157238
"13317",1010000,"Powiat piotrkowski",1999,459750
"13318",1011000,"Powiat poddębicki",1999,7048079
"13319",1012000,"Powiat radomszczański",1999,18213329
"13320",1013000,"Powiat rawski",1999,2667562
"13321",1014000,"Powiat sieradzki",1999,199408
"13322",1015000,"Powiat skierniewicki",1999,1085610
"13323",1016000,"Powiat tomaszowski",1999,4109919
"13324",1017000,"Powiat wieluński",1999,810331
"13325",1018000,"Powiat wieruszowski",1999,101259
"13326",1019000,"Powiat zduńskowolski",1999,56654
"13327",1020000,"Powiat zgierski",1999,764250
"13328",1021000,"Powiat brzeziński",1999,NA
"13329",1201000,"Powiat bocheński",1999,425280
"13330",1202000,"Powiat brzeski",1999,102880
"13331",1203000,"Powiat chrzanowski",1999,10331381
"13332",1204000,"Powiat dąbrowski",1999,207905
"13333",1205000,"Powiat gorlicki",1999,3881729
"13334",1206000,"Powiat krakowski",1999,3129619
"13335",1207000,"Powiat limanowski",1999,2282183
"13336",1208000,"Powiat miechowski",1999,493263
"13337",1209000,"Powiat myślenicki",1999,351138
"13338",1210000,"Powiat nowosądecki",1999,4084507
"13339",1211000,"Powiat nowotarski",1999,13156165
"13340",1212000,"Powiat olkuski",1999,567746
"13341",1213000,"Powiat oświęcimski",1999,4127134
"13342",1214000,"Powiat proszowicki",1999,908434
"13343",1215000,"Powiat suski",1999,1195284
"13344",1216000,"Powiat tarnowski",1999,3419039
"13345",1217000,"Powiat tatrzański",1999,402030
"13346",1218000,"Powiat wadowicki",1999,2821087
"13347",1219000,"Powiat wielicki",1999,929561
"13348",1401000,"Powiat białobrzeski",1999,405525
"13349",1402000,"Powiat ciechanowski",1999,634564
"13350",1403000,"Powiat garwoliński",1999,3945897
"13351",1404000,"Powiat gostyniński",1999,1986186
"13352",1405000,"Powiat grodziski",1999,9273811
"13353",1406000,"Powiat grójecki",1999,672886
"13354",1407000,"Powiat kozienicki",1999,91820
"13355",1408000,"Powiat legionowski",1999,5845813
"13356",1409000,"Powiat lipski",1999,89903
