"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_majatkowe_ogolem_zl"
"6616",201000,"Powiat bolesławiecki",1999,2806582
"6617",202000,"Powiat dzierżoniowski",1999,481580
"6618",203000,"Powiat głogowski",1999,18064023
"6619",204000,"Powiat górowski",1999,661177
"6620",205000,"Powiat jaworski",1999,625308
"6621",206000,"Powiat jeleniogórski",1999,1087326
"6622",207000,"Powiat kamiennogórski",1999,758660
"6623",208000,"Powiat kłodzki",1999,3850397
"6624",209000,"Powiat legnicki",1999,749832
"6625",210000,"Powiat lubański",1999,500457
"6626",211000,"Powiat lubiński",1999,190269
"6627",212000,"Powiat lwówecki",1999,578788
"6628",213000,"Powiat milicki",1999,18105129
"6629",214000,"Powiat oleśnicki",1999,2373262
"6630",215000,"Powiat oławski",1999,978346
"6631",216000,"Powiat polkowicki",1999,217090
"6632",217000,"Powiat strzeliński",1999,669520
"6633",218000,"Powiat średzki",1999,723100
"6634",219000,"Powiat świdnicki",1999,11108911
"6635",220000,"Powiat trzebnicki",1999,16794780
"6636",221000,"Powiat wałbrzyski",1999,403075
"6637",222000,"Powiat wołowski",1999,1136555
"6638",223000,"Powiat wrocławski",1999,969730
"6639",224000,"Powiat ząbkowicki",1999,312098
"6640",225000,"Powiat zgorzelecki",1999,1388204
"6641",226000,"Powiat złotoryjski",1999,894417
"6642",401000,"Powiat aleksandrowski",1999,1195783
"6643",402000,"Powiat brodnicki",1999,60757
"6644",403000,"Powiat bydgoski",1999,378690
"6645",404000,"Powiat chełmiński",1999,492493
"6646",405000,"Powiat golubsko-dobrzyński",1999,354805
"6647",406000,"Powiat grudziądzki",1999,40323
"6648",407000,"Powiat inowrocławski",1999,1016524
"6649",408000,"Powiat lipnowski",1999,417965
"6650",409000,"Powiat mogileński",1999,542429
"6651",410000,"Powiat nakielski",1999,401031
"6652",411000,"Powiat radziejowski",1999,217444
"6653",412000,"Powiat rypiński",1999,845528
"6654",413000,"Powiat sępoleński",1999,241046
"6655",414000,"Powiat świecki",1999,595096
"6656",415000,"Powiat toruński",1999,1352366
"6657",416000,"Powiat tucholski",1999,241799
"6658",417000,"Powiat wąbrzeski",1999,242441
"6659",418000,"Powiat włocławski",1999,769300
"6660",419000,"Powiat żniński",1999,777639
"6661",601000,"Powiat bialski",1999,2095766
"6662",602000,"Powiat biłgorajski",1999,5185623
"6663",603000,"Powiat chełmski",1999,440905
"6664",604000,"Powiat hrubieszowski",1999,250317
"6665",605000,"Powiat janowski",1999,427059
"6666",606000,"Powiat krasnostawski",1999,1620102
"6667",607000,"Powiat kraśnicki",1999,915002
"6668",608000,"Powiat lubartowski",1999,1727015
"6669",609000,"Powiat lubelski",1999,1321616
"6670",610000,"Powiat łęczyński",1999,104541
"6671",611000,"Powiat łukowski",1999,3619954
"6672",612000,"Powiat opolski",1999,759293
"6673",613000,"Powiat parczewski",1999,751812
"6674",614000,"Powiat puławski",1999,523580
"6675",615000,"Powiat radzyński",1999,1973920
"6676",616000,"Powiat rycki",1999,1032984
"6677",617000,"Powiat świdnicki",1999,495742
"6678",618000,"Powiat tomaszowski",1999,2764713
"6679",619000,"Powiat włodawski",1999,114009
"6680",620000,"Powiat zamojski",1999,934849
"6681",801000,"Powiat gorzowski",1999,508853
"6682",802000,"Powiat krośnieński",1999,1071224
"6683",803000,"Powiat międzyrzecki",1999,252654
"6684",804000,"Powiat nowosolski",1999,1663270
"6685",805000,"Powiat słubicki",1999,283028
"6686",806000,"Powiat strzelecko-drezdenecki",1999,1107676
"6687",807000,"Powiat sulęciński",1999,690328
"6688",808000,"Powiat świebodziński",1999,6135662
"6689",809000,"Powiat zielonogórski",1999,5194452
"6690",810000,"Powiat żagański",1999,2748944
"6691",811000,"Powiat żarski",1999,2457742
"6692",812000,"Powiat wschowski",1999,NA
"6693",1001000,"Powiat bełchatowski",1999,942789
"6694",1002000,"Powiat kutnowski",1999,243923
"6695",1003000,"Powiat łaski",1999,761700
"6696",1004000,"Powiat łęczycki",1999,245816
"6697",1005000,"Powiat łowicki",1999,1924650
"6698",1006000,"Powiat łódzki wschodni",1999,6925432
"6699",1007000,"Powiat opoczyński",1999,692423
"6700",1008000,"Powiat pabianicki",1999,360931
"6701",1009000,"Powiat pajęczański",1999,157238
"6702",1010000,"Powiat piotrkowski",1999,459750
"6703",1011000,"Powiat poddębicki",1999,7048079
"6704",1012000,"Powiat radomszczański",1999,18213329
"6705",1013000,"Powiat rawski",1999,2667562
"6706",1014000,"Powiat sieradzki",1999,199408
"6707",1015000,"Powiat skierniewicki",1999,1085610
"6708",1016000,"Powiat tomaszowski",1999,4109919
"6709",1017000,"Powiat wieluński",1999,810331
"6710",1018000,"Powiat wieruszowski",1999,101259
"6711",1019000,"Powiat zduńskowolski",1999,56654
"6712",1020000,"Powiat zgierski",1999,764250
"6713",1021000,"Powiat brzeziński",1999,NA
"6714",1201000,"Powiat bocheński",1999,425280
"6715",1202000,"Powiat brzeski",1999,102880
"6716",1203000,"Powiat chrzanowski",1999,10331381
"6717",1204000,"Powiat dąbrowski",1999,207905
"6718",1205000,"Powiat gorlicki",1999,3881729
"6719",1206000,"Powiat krakowski",1999,3129619
"6720",1207000,"Powiat limanowski",1999,2282183
"6721",1208000,"Powiat miechowski",1999,493263
"6722",1209000,"Powiat myślenicki",1999,351138
"6723",1210000,"Powiat nowosądecki",1999,4084507
"6724",1211000,"Powiat nowotarski",1999,13156165
"6725",1212000,"Powiat olkuski",1999,567746
"6726",1213000,"Powiat oświęcimski",1999,4127134
"6727",1214000,"Powiat proszowicki",1999,908434
"6728",1215000,"Powiat suski",1999,1195284
"6729",1216000,"Powiat tarnowski",1999,3474039
"6730",1217000,"Powiat tatrzański",1999,402030
"6731",1218000,"Powiat wadowicki",1999,2821087
"6732",1219000,"Powiat wielicki",1999,929561
"6733",1401000,"Powiat białobrzeski",1999,405525
"6734",1402000,"Powiat ciechanowski",1999,634564
"6735",1403000,"Powiat garwoliński",1999,3945897
"6736",1404000,"Powiat gostyniński",1999,1986186
"6737",1405000,"Powiat grodziski",1999,9273811
"6738",1406000,"Powiat grójecki",1999,672886
"6739",1407000,"Powiat kozienicki",1999,91820
"6740",1408000,"Powiat legionowski",1999,5845813
"6741",1409000,"Powiat lipski",1999,89903
"6742",1410000,"Powiat łosicki",1999,597624
"6743",1411000,"Powiat makowski",1999,216875
"6744",1412000,"Powiat miński",1999,2186710
"6745",1413000,"Powiat mławski",1999,55732
"6746",1414000,"Powiat nowodworski",1999,2173213
"6747",1415000,"Powiat ostrołęcki",1999,1450774
"6748",1416000,"Powiat ostrowski",1999,705718
"6749",1417000,"Powiat otwocki",1999,697477
"6750",1418000,"Powiat piaseczyński",1999,390486
"6751",1419000,"Powiat płocki",1999,3613889
"6752",1420000,"Powiat płoński",1999,3112598
"6753",1421000,"Powiat pruszkowski",1999,1514034
"6754",1422000,"Powiat przasnyski",1999,14822014
"6755",1423000,"Powiat przysuski",1999,944292
"6756",1424000,"Powiat pułtuski",1999,84697
"6757",1425000,"Powiat radomski",1999,4281320
"6758",1426000,"Powiat siedlecki",1999,173697
"6759",1427000,"Powiat sierpecki",1999,155096
"6760",1428000,"Powiat sochaczewski",1999,1260891
"6761",1429000,"Powiat sokołowski",1999,1479929
"6762",1430000,"Powiat szydłowiecki",1999,592708
"6763",1431000,"Powiat warszawski",1999,3268287
"6764",1432000,"Powiat warszawski zachodni",1999,1971100
"6765",1433000,"Powiat węgrowski",1999,245045
"6766",1434000,"Powiat wołomiński",1999,293574
"6767",1435000,"Powiat wyszkowski",1999,870712
"6768",1436000,"Powiat zwoleński",1999,992331
"6769",1437000,"Powiat żuromiński",1999,682691
"6770",1438000,"Powiat żyrardowski",1999,726865
"6771",1601000,"Powiat brzeski",1999,1163480
"6772",1602000,"Powiat głubczycki",1999,353968
"6773",1603000,"Powiat kędzierzyńsko-kozielski",1999,393270
"6774",1604000,"Powiat kluczborski",1999,709184
"6775",1605000,"Powiat krapkowicki",1999,437054
"6776",1606000,"Powiat namysłowski",1999,1733564
"6777",1607000,"Powiat nyski",1999,265087
"6778",1608000,"Powiat oleski",1999,625605
"6779",1609000,"Powiat opolski",1999,3639576
"6780",1610000,"Powiat prudnicki",1999,1253604
"6781",1611000,"Powiat strzelecki",1999,676842
"6782",1801000,"Powiat bieszczadzki",1999,1648715
"6783",1802000,"Powiat brzozowski",1999,1015934
"6784",1803000,"Powiat dębicki",1999,1659391
"6785",1804000,"Powiat jarosławski",1999,3273054
"6786",1805000,"Powiat jasielski",1999,1298577
"6787",1806000,"Powiat kolbuszowski",1999,414617
"6788",1807000,"Powiat krośnieński",1999,279618
"6789",1808000,"Powiat leżajski",1999,3224870
"6790",1809000,"Powiat lubaczowski",1999,9259174
"6791",1810000,"Powiat łańcucki",1999,2902852
"6792",1811000,"Powiat mielecki",1999,20308785
"6793",1812000,"Powiat niżański",1999,942880
"6794",1813000,"Powiat przemyski",1999,439513
"6795",1814000,"Powiat przeworski",1999,3494825
"6796",1815000,"Powiat ropczycko-sędziszowski",1999,1639401
"6797",1816000,"Powiat rzeszowski",1999,2190347
"6798",1817000,"Powiat sanocki",1999,2748842
"6799",1818000,"Powiat stalowowolski",1999,2073755
"6800",1819000,"Powiat strzyżowski",1999,936533
"6801",1820000,"Powiat tarnobrzeski",1999,669236
"6802",1821000,"Powiat leski",1999,NA
"6803",2001000,"Powiat augustowski",1999,1780959
"6804",2002000,"Powiat białostocki",1999,1907520
"6805",2003000,"Powiat bielski",1999,3589241
"6806",2004000,"Powiat grajewski",1999,1559844
"6807",2005000,"Powiat hajnowski",1999,1483150
"6808",2006000,"Powiat kolneński",1999,964726
"6809",2007000,"Powiat łomżyński",1999,42117
"6810",2008000,"Powiat moniecki",1999,1136298
"6811",2009000,"Powiat sejneński",1999,379569
"6812",2010000,"Powiat siemiatycki",1999,1685649
"6813",2011000,"Powiat sokólski",1999,1191897
"6814",2012000,"Powiat suwalski",1999,0
"6815",2013000,"Powiat wysokomazowiecki",1999,1547509
"6816",2014000,"Powiat zambrowski",1999,874735
"6817",2201000,"Powiat bytowski",1999,788724
"6818",2202000,"Powiat chojnicki",1999,26075135
"6819",2203000,"Powiat człuchowski",1999,3119464
"6820",2204000,"Powiat gdański",1999,639884
"6821",2205000,"Powiat kartuski",1999,985546
"6822",2206000,"Powiat kościerski",1999,259237
"6823",2207000,"Powiat kwidzyński",1999,1455045
"6824",2208000,"Powiat lęborski",1999,369352
"6825",2209000,"Powiat malborski",1999,743315
"6826",2210000,"Powiat nowodworski",1999,544031
"6827",2211000,"Powiat pucki",1999,3482120
"6828",2212000,"Powiat słupski",1999,2200833
"6829",2213000,"Powiat starogardzki",1999,533617
"6830",2214000,"Powiat tczewski",1999,1231165
"6831",2215000,"Powiat wejherowski",1999,353473
"6832",2216000,"Powiat sztumski",1999,NA
