"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_izbe"
"34201",201000,"Powiat bolesławiecki",2002,NA
"34202",202000,"Powiat dzierżoniowski",2002,NA
"34203",203000,"Powiat głogowski",2002,NA
"34204",204000,"Powiat górowski",2002,NA
"34205",205000,"Powiat jaworski",2002,NA
"34206",206000,"Powiat jeleniogórski",2002,NA
"34207",207000,"Powiat kamiennogórski",2002,NA
"34208",208000,"Powiat kłodzki",2002,NA
"34209",209000,"Powiat legnicki",2002,NA
"34210",210000,"Powiat lubański",2002,NA
"34211",211000,"Powiat lubiński",2002,NA
"34212",212000,"Powiat lwówecki",2002,NA
"34213",213000,"Powiat milicki",2002,NA
"34214",214000,"Powiat oleśnicki",2002,NA
"34215",215000,"Powiat oławski",2002,NA
"34216",216000,"Powiat polkowicki",2002,NA
"34217",217000,"Powiat strzeliński",2002,NA
"34218",218000,"Powiat średzki",2002,NA
"34219",219000,"Powiat świdnicki",2002,NA
"34220",220000,"Powiat trzebnicki",2002,NA
"34221",221000,"Powiat wałbrzyski",2002,NA
"34222",222000,"Powiat wołowski",2002,NA
"34223",223000,"Powiat wrocławski",2002,NA
"34224",224000,"Powiat ząbkowicki",2002,NA
"34225",225000,"Powiat zgorzelecki",2002,NA
"34226",226000,"Powiat złotoryjski",2002,NA
"34227",261000,"Powiat m.Jelenia Góra",2002,NA
"34228",262000,"Powiat m.Legnica",2002,NA
"34229",264000,"Powiat m.Wrocław",2002,NA
"34230",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"34231",401000,"Powiat aleksandrowski",2002,NA
"34232",402000,"Powiat brodnicki",2002,NA
"34233",403000,"Powiat bydgoski",2002,NA
"34234",404000,"Powiat chełmiński",2002,NA
"34235",405000,"Powiat golubsko-dobrzyński",2002,NA
"34236",406000,"Powiat grudziądzki",2002,NA
"34237",407000,"Powiat inowrocławski",2002,NA
"34238",408000,"Powiat lipnowski",2002,NA
"34239",409000,"Powiat mogileński",2002,NA
"34240",410000,"Powiat nakielski",2002,NA
"34241",411000,"Powiat radziejowski",2002,NA
"34242",412000,"Powiat rypiński",2002,NA
"34243",413000,"Powiat sępoleński",2002,NA
"34244",414000,"Powiat świecki",2002,NA
"34245",415000,"Powiat toruński",2002,NA
"34246",416000,"Powiat tucholski",2002,NA
"34247",417000,"Powiat wąbrzeski",2002,NA
"34248",418000,"Powiat włocławski",2002,NA
"34249",419000,"Powiat żniński",2002,NA
"34250",461000,"Powiat m.Bydgoszcz",2002,NA
"34251",462000,"Powiat m.Grudziądz",2002,NA
"34252",463000,"Powiat m.Toruń",2002,NA
"34253",464000,"Powiat m.Włocławek",2002,NA
"34254",601000,"Powiat bialski",2002,NA
"34255",602000,"Powiat biłgorajski",2002,NA
"34256",603000,"Powiat chełmski",2002,NA
"34257",604000,"Powiat hrubieszowski",2002,NA
"34258",605000,"Powiat janowski",2002,NA
"34259",606000,"Powiat krasnostawski",2002,NA
"34260",607000,"Powiat kraśnicki",2002,NA
"34261",608000,"Powiat lubartowski",2002,NA
"34262",609000,"Powiat lubelski",2002,NA
"34263",610000,"Powiat łęczyński",2002,NA
"34264",611000,"Powiat łukowski",2002,NA
"34265",612000,"Powiat opolski",2002,NA
"34266",613000,"Powiat parczewski",2002,NA
"34267",614000,"Powiat puławski",2002,NA
"34268",615000,"Powiat radzyński",2002,NA
"34269",616000,"Powiat rycki",2002,NA
"34270",617000,"Powiat świdnicki",2002,NA
"34271",618000,"Powiat tomaszowski",2002,NA
"34272",619000,"Powiat włodawski",2002,NA
"34273",620000,"Powiat zamojski",2002,NA
"34274",661000,"Powiat m.Biała Podlaska",2002,NA
"34275",662000,"Powiat m.Chełm",2002,NA
"34276",663000,"Powiat m.Lublin",2002,NA
"34277",664000,"Powiat m.Zamość",2002,NA
"34278",801000,"Powiat gorzowski",2002,NA
"34279",802000,"Powiat krośnieński",2002,NA
"34280",803000,"Powiat międzyrzecki",2002,NA
"34281",804000,"Powiat nowosolski",2002,NA
"34282",805000,"Powiat słubicki",2002,NA
"34283",806000,"Powiat strzelecko-drezdenecki",2002,NA
"34284",807000,"Powiat sulęciński",2002,NA
"34285",808000,"Powiat świebodziński",2002,NA
"34286",809000,"Powiat zielonogórski",2002,NA
"34287",810000,"Powiat żagański",2002,NA
"34288",811000,"Powiat żarski",2002,NA
"34289",812000,"Powiat wschowski",2002,NA
"34290",861000,"Powiat m.Gorzów Wielkopolski",2002,NA
"34291",862000,"Powiat m.Zielona Góra",2002,NA
"34292",1001000,"Powiat bełchatowski",2002,NA
"34293",1002000,"Powiat kutnowski",2002,NA
"34294",1003000,"Powiat łaski",2002,NA
"34295",1004000,"Powiat łęczycki",2002,NA
"34296",1005000,"Powiat łowicki",2002,NA
"34297",1006000,"Powiat łódzki wschodni",2002,NA
"34298",1007000,"Powiat opoczyński",2002,NA
"34299",1008000,"Powiat pabianicki",2002,NA
"34300",1009000,"Powiat pajęczański",2002,NA
"34301",1010000,"Powiat piotrkowski",2002,NA
"34302",1011000,"Powiat poddębicki",2002,NA
"34303",1012000,"Powiat radomszczański",2002,NA
"34304",1013000,"Powiat rawski",2002,NA
"34305",1014000,"Powiat sieradzki",2002,NA
"34306",1015000,"Powiat skierniewicki",2002,NA
"34307",1016000,"Powiat tomaszowski",2002,NA
"34308",1017000,"Powiat wieluński",2002,NA
"34309",1018000,"Powiat wieruszowski",2002,NA
"34310",1019000,"Powiat zduńskowolski",2002,NA
"34311",1020000,"Powiat zgierski",2002,NA
"34312",1021000,"Powiat brzeziński",2002,NA
"34313",1061000,"Powiat m.Łódź",2002,NA
"34314",1062000,"Powiat m.Piotrków Trybunalski",2002,NA
"34315",1063000,"Powiat m.Skierniewice",2002,NA
"34316",1201000,"Powiat bocheński",2002,NA
"34317",1202000,"Powiat brzeski",2002,NA
"34318",1203000,"Powiat chrzanowski",2002,NA
"34319",1204000,"Powiat dąbrowski",2002,NA
"34320",1205000,"Powiat gorlicki",2002,NA
"34321",1206000,"Powiat krakowski",2002,NA
"34322",1207000,"Powiat limanowski",2002,NA
"34323",1208000,"Powiat miechowski",2002,NA
"34324",1209000,"Powiat myślenicki",2002,NA
"34325",1210000,"Powiat nowosądecki",2002,NA
"34326",1211000,"Powiat nowotarski",2002,NA
"34327",1212000,"Powiat olkuski",2002,NA
"34328",1213000,"Powiat oświęcimski",2002,NA
"34329",1214000,"Powiat proszowicki",2002,NA
"34330",1215000,"Powiat suski",2002,NA
