"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_mieszkanie"
"27361",201000,"Powiat bolesławiecki",2002,NA
"27362",202000,"Powiat dzierżoniowski",2002,NA
"27363",203000,"Powiat głogowski",2002,NA
"27364",204000,"Powiat górowski",2002,NA
"27365",205000,"Powiat jaworski",2002,NA
"27366",206000,"Powiat jeleniogórski",2002,NA
"27367",207000,"Powiat kamiennogórski",2002,NA
"27368",208000,"Powiat kłodzki",2002,NA
"27369",209000,"Powiat legnicki",2002,NA
"27370",210000,"Powiat lubański",2002,NA
"27371",211000,"Powiat lubiński",2002,NA
"27372",212000,"Powiat lwówecki",2002,NA
"27373",213000,"Powiat milicki",2002,NA
"27374",214000,"Powiat oleśnicki",2002,NA
"27375",215000,"Powiat oławski",2002,NA
"27376",216000,"Powiat polkowicki",2002,NA
"27377",217000,"Powiat strzeliński",2002,NA
"27378",218000,"Powiat średzki",2002,NA
"27379",219000,"Powiat świdnicki",2002,NA
"27380",220000,"Powiat trzebnicki",2002,NA
"27381",221000,"Powiat wałbrzyski",2002,NA
"27382",222000,"Powiat wołowski",2002,NA
"27383",223000,"Powiat wrocławski",2002,NA
"27384",224000,"Powiat ząbkowicki",2002,NA
"27385",225000,"Powiat zgorzelecki",2002,NA
"27386",226000,"Powiat złotoryjski",2002,NA
"27387",261000,"Powiat m.Jelenia Góra",2002,NA
"27388",262000,"Powiat m.Legnica",2002,NA
"27389",264000,"Powiat m.Wrocław",2002,NA
"27390",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"27391",401000,"Powiat aleksandrowski",2002,NA
"27392",402000,"Powiat brodnicki",2002,NA
"27393",403000,"Powiat bydgoski",2002,NA
"27394",404000,"Powiat chełmiński",2002,NA
"27395",405000,"Powiat golubsko-dobrzyński",2002,NA
"27396",406000,"Powiat grudziądzki",2002,NA
"27397",407000,"Powiat inowrocławski",2002,NA
"27398",408000,"Powiat lipnowski",2002,NA
"27399",409000,"Powiat mogileński",2002,NA
"27400",410000,"Powiat nakielski",2002,NA
"27401",411000,"Powiat radziejowski",2002,NA
"27402",412000,"Powiat rypiński",2002,NA
"27403",413000,"Powiat sępoleński",2002,NA
"27404",414000,"Powiat świecki",2002,NA
"27405",415000,"Powiat toruński",2002,NA
"27406",416000,"Powiat tucholski",2002,NA
"27407",417000,"Powiat wąbrzeski",2002,NA
"27408",418000,"Powiat włocławski",2002,NA
"27409",419000,"Powiat żniński",2002,NA
"27410",461000,"Powiat m.Bydgoszcz",2002,NA
"27411",462000,"Powiat m.Grudziądz",2002,NA
"27412",463000,"Powiat m.Toruń",2002,NA
"27413",464000,"Powiat m.Włocławek",2002,NA
"27414",601000,"Powiat bialski",2002,NA
"27415",602000,"Powiat biłgorajski",2002,NA
"27416",603000,"Powiat chełmski",2002,NA
"27417",604000,"Powiat hrubieszowski",2002,NA
"27418",605000,"Powiat janowski",2002,NA
"27419",606000,"Powiat krasnostawski",2002,NA
"27420",607000,"Powiat kraśnicki",2002,NA
"27421",608000,"Powiat lubartowski",2002,NA
"27422",609000,"Powiat lubelski",2002,NA
"27423",610000,"Powiat łęczyński",2002,NA
"27424",611000,"Powiat łukowski",2002,NA
"27425",612000,"Powiat opolski",2002,NA
"27426",613000,"Powiat parczewski",2002,NA
"27427",614000,"Powiat puławski",2002,NA
"27428",615000,"Powiat radzyński",2002,NA
"27429",616000,"Powiat rycki",2002,NA
"27430",617000,"Powiat świdnicki",2002,NA
"27431",618000,"Powiat tomaszowski",2002,NA
"27432",619000,"Powiat włodawski",2002,NA
"27433",620000,"Powiat zamojski",2002,NA
"27434",661000,"Powiat m.Biała Podlaska",2002,NA
"27435",662000,"Powiat m.Chełm",2002,NA
"27436",663000,"Powiat m.Lublin",2002,NA
"27437",664000,"Powiat m.Zamość",2002,NA
"27438",801000,"Powiat gorzowski",2002,NA
"27439",802000,"Powiat krośnieński",2002,NA
"27440",803000,"Powiat międzyrzecki",2002,NA
"27441",804000,"Powiat nowosolski",2002,NA
"27442",805000,"Powiat słubicki",2002,NA
"27443",806000,"Powiat strzelecko-drezdenecki",2002,NA
"27444",807000,"Powiat sulęciński",2002,NA
"27445",808000,"Powiat świebodziński",2002,NA
"27446",809000,"Powiat zielonogórski",2002,NA
"27447",810000,"Powiat żagański",2002,NA
"27448",811000,"Powiat żarski",2002,NA
"27449",812000,"Powiat wschowski",2002,NA
"27450",861000,"Powiat m.Gorzów Wielkopolski",2002,NA
"27451",862000,"Powiat m.Zielona Góra",2002,NA
"27452",1001000,"Powiat bełchatowski",2002,NA
"27453",1002000,"Powiat kutnowski",2002,NA
"27454",1003000,"Powiat łaski",2002,NA
"27455",1004000,"Powiat łęczycki",2002,NA
"27456",1005000,"Powiat łowicki",2002,NA
"27457",1006000,"Powiat łódzki wschodni",2002,NA
"27458",1007000,"Powiat opoczyński",2002,NA
"27459",1008000,"Powiat pabianicki",2002,NA
"27460",1009000,"Powiat pajęczański",2002,NA
"27461",1010000,"Powiat piotrkowski",2002,NA
"27462",1011000,"Powiat poddębicki",2002,NA
"27463",1012000,"Powiat radomszczański",2002,NA
"27464",1013000,"Powiat rawski",2002,NA
"27465",1014000,"Powiat sieradzki",2002,NA
"27466",1015000,"Powiat skierniewicki",2002,NA
"27467",1016000,"Powiat tomaszowski",2002,NA
"27468",1017000,"Powiat wieluński",2002,NA
"27469",1018000,"Powiat wieruszowski",2002,NA
"27470",1019000,"Powiat zduńskowolski",2002,NA
"27471",1020000,"Powiat zgierski",2002,NA
"27472",1021000,"Powiat brzeziński",2002,NA
"27473",1061000,"Powiat m.Łódź",2002,NA
"27474",1062000,"Powiat m.Piotrków Trybunalski",2002,NA
"27475",1063000,"Powiat m.Skierniewice",2002,NA
"27476",1201000,"Powiat bocheński",2002,NA
"27477",1202000,"Powiat brzeski",2002,NA
"27478",1203000,"Powiat chrzanowski",2002,NA
"27479",1204000,"Powiat dąbrowski",2002,NA
"27480",1205000,"Powiat gorlicki",2002,NA
"27481",1206000,"Powiat krakowski",2002,NA
"27482",1207000,"Powiat limanowski",2002,NA
"27483",1208000,"Powiat miechowski",2002,NA
"27484",1209000,"Powiat myślenicki",2002,NA
"27485",1210000,"Powiat nowosądecki",2002,NA
"27486",1211000,"Powiat nowotarski",2002,NA
"27487",1212000,"Powiat olkuski",2002,NA
"27488",1213000,"Powiat oświęcimski",2002,NA
"27489",1214000,"Powiat proszowicki",2002,NA
"27490",1215000,"Powiat suski",2002,NA
"27491",1216000,"Powiat tarnowski",2002,NA
"27492",1217000,"Powiat tatrzański",2002,NA
"27493",1218000,"Powiat wadowicki",2002,NA
"27494",1219000,"Powiat wielicki",2002,NA
"27495",1261000,"Powiat m.Kraków",2002,NA
"27496",1262000,"Powiat m.Nowy Sącz",2002,NA
"27497",1263000,"Powiat m.Tarnów",2002,NA
"27498",1401000,"Powiat białobrzeski",2002,NA
"27499",1402000,"Powiat ciechanowski",2002,NA
"27500",1403000,"Powiat garwoliński",2002,NA
"27501",1404000,"Powiat gostyniński",2002,NA
"27502",1405000,"Powiat grodziski",2002,NA
"27503",1406000,"Powiat grójecki",2002,NA
"27504",1407000,"Powiat kozienicki",2002,NA
"27505",1408000,"Powiat legionowski",2002,NA
"27506",1409000,"Powiat lipski",2002,NA
"27507",1410000,"Powiat łosicki",2002,NA
"27508",1411000,"Powiat makowski",2002,NA
"27509",1412000,"Powiat miński",2002,NA
"27510",1413000,"Powiat mławski",2002,NA
"27511",1414000,"Powiat nowodworski",2002,NA
"27512",1415000,"Powiat ostrołęcki",2002,NA
"27513",1416000,"Powiat ostrowski",2002,NA
"27514",1417000,"Powiat otwocki",2002,NA
"27515",1418000,"Powiat piaseczyński",2002,NA
"27516",1419000,"Powiat płocki",2002,NA
"27517",1420000,"Powiat płoński",2002,NA
"27518",1421000,"Powiat pruszkowski",2002,NA
"27519",1422000,"Powiat przasnyski",2002,NA
"27520",1423000,"Powiat przysuski",2002,NA
"27521",1424000,"Powiat pułtuski",2002,NA
"27522",1425000,"Powiat radomski",2002,NA
"27523",1426000,"Powiat siedlecki",2002,NA
"27524",1427000,"Powiat sierpecki",2002,NA
"27525",1428000,"Powiat sochaczewski",2002,NA
"27526",1429000,"Powiat sokołowski",2002,NA
"27527",1430000,"Powiat szydłowiecki",2002,NA
"27528",1432000,"Powiat warszawski zachodni",2002,NA
"27529",1433000,"Powiat węgrowski",2002,NA
"27530",1434000,"Powiat wołomiński",2002,NA
"27531",1435000,"Powiat wyszkowski",2002,NA
"27532",1436000,"Powiat zwoleński",2002,NA
"27533",1437000,"Powiat żuromiński",2002,NA
"27534",1438000,"Powiat żyrardowski",2002,NA
"27535",1461000,"Powiat m.Ostrołęka",2002,NA
"27536",1462000,"Powiat m.Płock",2002,NA
"27537",1463000,"Powiat m.Radom",2002,NA
"27538",1464000,"Powiat m.Siedlce",2002,NA
"27539",1465000,"Powiat m. st. Warszawa",2002,NA
"27540",1601000,"Powiat brzeski",2002,NA
"27541",1602000,"Powiat głubczycki",2002,NA
"27542",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"27543",1604000,"Powiat kluczborski",2002,NA
"27544",1605000,"Powiat krapkowicki",2002,NA
"27545",1606000,"Powiat namysłowski",2002,NA
"27546",1607000,"Powiat nyski",2002,NA
"27547",1608000,"Powiat oleski",2002,NA
