"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_poprodukcyjnym_proc"
"13717",201000,"Powiat bolesławiecki",2002,13.8
"13718",202000,"Powiat dzierżoniowski",2002,17.3
"13719",203000,"Powiat głogowski",2002,10.2
"13720",204000,"Powiat górowski",2002,14.1
"13721",205000,"Powiat jaworski",2002,14.6
"13722",206000,"Powiat jeleniogórski",2002,15.3
"13723",207000,"Powiat kamiennogórski",2002,15.8
"13724",208000,"Powiat kłodzki",2002,16.4
"13725",209000,"Powiat legnicki",2002,14.7
"13726",210000,"Powiat lubański",2002,15
"13727",211000,"Powiat lubiński",2002,11.2
"13728",212000,"Powiat lwówecki",2002,15.3
"13729",213000,"Powiat milicki",2002,13.2
"13730",214000,"Powiat oleśnicki",2002,13
"13731",215000,"Powiat oławski",2002,12.4
"13732",216000,"Powiat polkowicki",2002,11.1
"13733",217000,"Powiat strzeliński",2002,15.8
"13734",218000,"Powiat średzki",2002,14.3
"13735",219000,"Powiat świdnicki",2002,15.1
"13736",220000,"Powiat trzebnicki",2002,13.4
"13737",221000,"Powiat wałbrzyski",2002,17.3
"13738",222000,"Powiat wołowski",2002,15.5
"13739",223000,"Powiat wrocławski",2002,13.7
"13740",224000,"Powiat ząbkowicki",2002,15.9
"13741",225000,"Powiat zgorzelecki",2002,14.4
"13742",226000,"Powiat złotoryjski",2002,13.7
"13743",261000,"Powiat m.Jelenia Góra",2002,17.5
"13744",262000,"Powiat m.Legnica",2002,14.2
"13745",263000,"Powiat m.Wałbrzych do 2002",2002,17.9
"13746",264000,"Powiat m.Wrocław",2002,17.4
"13747",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"13748",401000,"Powiat aleksandrowski",2002,15.7
"13749",402000,"Powiat brodnicki",2002,13.9
"13750",403000,"Powiat bydgoski",2002,11.9
"13751",404000,"Powiat chełmiński",2002,13.3
"13752",405000,"Powiat golubsko-dobrzyński",2002,13.9
"13753",406000,"Powiat grudziądzki",2002,12.6
"13754",407000,"Powiat inowrocławski",2002,13.7
"13755",408000,"Powiat lipnowski",2002,14
"13756",409000,"Powiat mogileński",2002,13.7
"13757",410000,"Powiat nakielski",2002,12.2
"13758",411000,"Powiat radziejowski",2002,16.3
"13759",412000,"Powiat rypiński",2002,14.9
"13760",413000,"Powiat sępoleński",2002,13.4
"13761",414000,"Powiat świecki",2002,12.7
"13762",415000,"Powiat toruński",2002,12.3
"13763",416000,"Powiat tucholski",2002,13.2
"13764",417000,"Powiat wąbrzeski",2002,14.2
"13765",418000,"Powiat włocławski",2002,15.8
"13766",419000,"Powiat żniński",2002,13
"13767",461000,"Powiat m.Bydgoszcz",2002,16
"13768",462000,"Powiat m.Grudziądz",2002,15.1
"13769",463000,"Powiat m.Toruń",2002,13.6
"13770",464000,"Powiat m.Włocławek",2002,13.6
"13771",601000,"Powiat bialski",2002,18.2
"13772",602000,"Powiat biłgorajski",2002,16.5
"13773",603000,"Powiat chełmski",2002,17.9
"13774",604000,"Powiat hrubieszowski",2002,17.9
"13775",605000,"Powiat janowski",2002,18.2
"13776",606000,"Powiat krasnostawski",2002,20.6
"13777",607000,"Powiat kraśnicki",2002,17.8
"13778",608000,"Powiat lubartowski",2002,16.7
"13779",609000,"Powiat lubelski",2002,16.9
"13780",610000,"Powiat łęczyński",2002,11.8
"13781",611000,"Powiat łukowski",2002,15.3
"13782",612000,"Powiat opolski",2002,17.6
"13783",613000,"Powiat parczewski",2002,17.8
"13784",614000,"Powiat puławski",2002,16.6
"13785",615000,"Powiat radzyński",2002,16.6
"13786",616000,"Powiat rycki",2002,15.7
"13787",617000,"Powiat świdnicki",2002,15.7
"13788",618000,"Powiat tomaszowski",2002,17.3
