"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_produkcyjnym_proc"
"6859",201000,"Powiat bolesławiecki",2002,62.5
"6860",202000,"Powiat dzierżoniowski",2002,62.1
"6861",203000,"Powiat głogowski",2002,67
"6862",204000,"Powiat górowski",2002,59.5
"6863",205000,"Powiat jaworski",2002,62.3
"6864",206000,"Powiat jeleniogórski",2002,63.7
"6865",207000,"Powiat kamiennogórski",2002,61.8
"6866",208000,"Powiat kłodzki",2002,62.6
"6867",209000,"Powiat legnicki",2002,61.8
"6868",210000,"Powiat lubański",2002,62.2
"6869",211000,"Powiat lubiński",2002,67.1
"6870",212000,"Powiat lwówecki",2002,61
"6871",213000,"Powiat milicki",2002,61.8
"6872",214000,"Powiat oleśnicki",2002,62.8
"6873",215000,"Powiat oławski",2002,64.9
"6874",216000,"Powiat polkowicki",2002,62.9
"6875",217000,"Powiat strzeliński",2002,61.4
"6876",218000,"Powiat średzki",2002,62.1
"6877",219000,"Powiat świdnicki",2002,63.3
"6878",220000,"Powiat trzebnicki",2002,62.6
"6879",221000,"Powiat wałbrzyski",2002,61.2
"6880",222000,"Powiat wołowski",2002,61.6
"6881",223000,"Powiat wrocławski",2002,62.2
"6882",224000,"Powiat ząbkowicki",2002,61.8
"6883",225000,"Powiat zgorzelecki",2002,63.5
"6884",226000,"Powiat złotoryjski",2002,62.7
"6885",261000,"Powiat m.Jelenia Góra",2002,64.4
"6886",262000,"Powiat m.Legnica",2002,65.1
"6887",263000,"Powiat m.Wałbrzych do 2002",2002,63.7
"6888",264000,"Powiat m.Wrocław",2002,65.9
"6889",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"6890",401000,"Powiat aleksandrowski",2002,61
"6891",402000,"Powiat brodnicki",2002,59.3
"6892",403000,"Powiat bydgoski",2002,61.9
"6893",404000,"Powiat chełmiński",2002,61
"6894",405000,"Powiat golubsko-dobrzyński",2002,59.2
"6895",406000,"Powiat grudziądzki",2002,59.9
"6896",407000,"Powiat inowrocławski",2002,63
"6897",408000,"Powiat lipnowski",2002,58.7
"6898",409000,"Powiat mogileński",2002,61.1
"6899",410000,"Powiat nakielski",2002,61.5
"6900",411000,"Powiat radziejowski",2002,58.7
"6901",412000,"Powiat rypiński",2002,59
"6902",413000,"Powiat sępoleński",2002,59.8
"6903",414000,"Powiat świecki",2002,62.2
"6904",415000,"Powiat toruński",2002,60.9
"6905",416000,"Powiat tucholski",2002,59.8
"6906",417000,"Powiat wąbrzeski",2002,60.2
"6907",418000,"Powiat włocławski",2002,59.4
"6908",419000,"Powiat żniński",2002,62.1
"6909",461000,"Powiat m.Bydgoszcz",2002,64.5
"6910",462000,"Powiat m.Grudziądz",2002,63.2
"6911",463000,"Powiat m.Toruń",2002,66.6
"6912",464000,"Powiat m.Włocławek",2002,65.5
"6913",601000,"Powiat bialski",2002,55.4
"6914",602000,"Powiat biłgorajski",2002,58.1
"6915",603000,"Powiat chełmski",2002,56.9
"6916",604000,"Powiat hrubieszowski",2002,57.9
"6917",605000,"Powiat janowski",2002,56.7
"6918",606000,"Powiat krasnostawski",2002,57.2
"6919",607000,"Powiat kraśnicki",2002,58.8
"6920",608000,"Powiat lubartowski",2002,58.9
"6921",609000,"Powiat lubelski",2002,58.5
"6922",610000,"Powiat łęczyński",2002,60.8
"6923",611000,"Powiat łukowski",2002,56.8
"6924",612000,"Powiat opolski",2002,58.5
"6925",613000,"Powiat parczewski",2002,57.1
"6926",614000,"Powiat puławski",2002,60.7
"6927",615000,"Powiat radzyński",2002,57
"6928",616000,"Powiat rycki",2002,59
"6929",617000,"Powiat świdnicki",2002,62.6
"6930",618000,"Powiat tomaszowski",2002,57.5
"6931",619000,"Powiat włodawski",2002,58.7
"6932",620000,"Powiat zamojski",2002,55.3
"6933",661000,"Powiat m.Biała Podlaska",2002,64.2
"6934",662000,"Powiat m.Chełm",2002,64.5
"6935",663000,"Powiat m.Lublin",2002,66.5
"6936",664000,"Powiat m.Zamość",2002,64.2
"6937",801000,"Powiat gorzowski",2002,62.1
"6938",802000,"Powiat krośnieński",2002,63
"6939",803000,"Powiat międzyrzecki",2002,62.8
