"","Kod","Nazwa","rok","porady_lekarskie_CTAB_porady_lekarskie_ogolem_ogolem"
"1",201000,"Powiat bolesławiecki",2012,530548
"2",202000,"Powiat dzierżoniowski",2012,637364
"3",203000,"Powiat głogowski",2012,536559
"4",204000,"Powiat górowski",2012,216412
"5",205000,"Powiat jaworski",2012,379908
"6",206000,"Powiat jeleniogórski",2012,262818
"7",207000,"Powiat kamiennogórski",2012,223178
"8",208000,"Powiat kłodzki",2012,1012295
"9",209000,"Powiat legnicki",2012,263145
"10",210000,"Powiat lubański",2012,331988
"11",211000,"Powiat lubiński",2012,824316
"12",212000,"Powiat lwówecki",2012,228624
"13",213000,"Powiat milicki",2012,263383
"14",214000,"Powiat oleśnicki",2012,600551
"15",215000,"Powiat oławski",2012,492924
"16",216000,"Powiat polkowicki",2012,320611
"17",217000,"Powiat strzeliński",2012,291923
"18",218000,"Powiat średzki",2012,262141
"19",219000,"Powiat świdnicki",2012,1001396
"20",220000,"Powiat trzebnicki",2012,345127
"21",221000,"Powiat wałbrzyski",2012,1651308
"22",222000,"Powiat wołowski",2012,271287
"23",223000,"Powiat wrocławski",2012,529104
"24",224000,"Powiat ząbkowicki",2012,441230
"25",225000,"Powiat zgorzelecki",2012,553568
"26",226000,"Powiat złotoryjski",2012,238644
"27",261000,"Powiat m.Jelenia Góra",2012,718330
"28",262000,"Powiat m.Legnica",2012,798013
"29",264000,"Powiat m.Wrocław",2012,5995297
"30",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"31",401000,"Powiat aleksandrowski",2012,347527
"32",402000,"Powiat brodnicki",2012,450592
"33",403000,"Powiat bydgoski",2012,498556
"34",404000,"Powiat chełmiński",2012,265073
"35",405000,"Powiat golubsko-dobrzyński",2012,288605
"36",406000,"Powiat grudziądzki",2012,125297
"37",407000,"Powiat inowrocławski",2012,1083081
"38",408000,"Powiat lipnowski",2012,414376
"39",409000,"Powiat mogileński",2012,252094
"40",410000,"Powiat nakielski",2012,489490
"41",411000,"Powiat radziejowski",2012,310542
"42",412000,"Powiat rypiński",2012,280654
"43",413000,"Powiat sępoleński",2012,265381
"44",414000,"Powiat świecki",2012,626429
"45",415000,"Powiat toruński",2012,411994
"46",416000,"Powiat tucholski",2012,277748
"47",417000,"Powiat wąbrzeski",2012,248761
"48",418000,"Powiat włocławski",2012,406307
"49",419000,"Powiat żniński",2012,411151
"50",461000,"Powiat m.Bydgoszcz",2012,3735160
"51",462000,"Powiat m.Grudziądz",2012,790596
"52",463000,"Powiat m.Toruń",2012,1809164
"53",464000,"Powiat m.Włocławek",2012,984007
"54",601000,"Powiat bialski",2012,459042
"55",602000,"Powiat biłgorajski",2012,477247
"56",603000,"Powiat chełmski",2012,253831
"57",604000,"Powiat hrubieszowski",2012,386855
"58",605000,"Powiat janowski",2012,244620
"59",606000,"Powiat krasnostawski",2012,420807
"60",607000,"Powiat kraśnicki",2012,641380
"61",608000,"Powiat lubartowski",2012,534151
"62",609000,"Powiat lubelski",2012,594453
"63",610000,"Powiat łęczyński",2012,372759
"64",611000,"Powiat łukowski",2012,495296
"65",612000,"Powiat opolski",2012,319279
"66",613000,"Powiat parczewski",2012,266837
"67",614000,"Powiat puławski",2012,817679
"68",615000,"Powiat radzyński",2012,291825
"69",616000,"Powiat rycki",2012,410449
"70",617000,"Powiat świdnicki",2012,486024
"71",618000,"Powiat tomaszowski",2012,494414
"72",619000,"Powiat włodawski",2012,257362
"73",620000,"Powiat zamojski",2012,374906
"74",661000,"Powiat m.Biała Podlaska",2012,519714
"75",662000,"Powiat m.Chełm",2012,676652
"76",663000,"Powiat m.Lublin",2012,4084990
"77",664000,"Powiat m.Zamość",2012,1031200
"78",801000,"Powiat gorzowski",2012,239564
"79",802000,"Powiat krośnieński",2012,285978
"80",803000,"Powiat międzyrzecki",2012,336492
"81",804000,"Powiat nowosolski",2012,516124
"82",805000,"Powiat słubicki",2012,200450
"83",806000,"Powiat strzelecko-drezdenecki",2012,239749
"84",807000,"Powiat sulęciński",2012,210939
"85",808000,"Powiat świebodziński",2012,348011
"86",809000,"Powiat zielonogórski",2012,352191
"87",810000,"Powiat żagański",2012,419778
"88",811000,"Powiat żarski",2012,546375
"89",812000,"Powiat wschowski",2012,185114
"90",861000,"Powiat m.Gorzów Wielkopolski",2012,1068908
"91",862000,"Powiat m.Zielona Góra",2012,1334880
"92",1001000,"Powiat bełchatowski",2012,837796
"93",1002000,"Powiat kutnowski",2012,617403
"94",1003000,"Powiat łaski",2012,291041
"95",1004000,"Powiat łęczycki",2012,345766
"96",1005000,"Powiat łowicki",2012,455432
"97",1006000,"Powiat łódzki wschodni",2012,378749
"98",1007000,"Powiat opoczyński",2012,410882
"99",1008000,"Powiat pabianicki",2012,790315
"100",1009000,"Powiat pajęczański",2012,279423
"101",1010000,"Powiat piotrkowski",2012,338188
"102",1011000,"Powiat poddębicki",2012,279236
"103",1012000,"Powiat radomszczański",2012,760028
"104",1013000,"Powiat rawski",2012,325723
"105",1014000,"Powiat sieradzki",2012,883473
"106",1015000,"Powiat skierniewicki",2012,113851
"107",1016000,"Powiat tomaszowski",2012,760697
"108",1017000,"Powiat wieluński",2012,412419
"109",1018000,"Powiat wieruszowski",2012,213761
"110",1019000,"Powiat zduńskowolski",2012,413989
"111",1020000,"Powiat zgierski",2012,1010277
"112",1021000,"Powiat brzeziński",2012,206267
"113",1061000,"Powiat m.Łódź",2012,6766482
"114",1062000,"Powiat m.Piotrków Trybunalski",2012,699987
"115",1063000,"Powiat m.Skierniewice",2012,498953
"116",1201000,"Powiat bocheński",2012,605459
"117",1202000,"Powiat brzeski",2012,473097
"118",1203000,"Powiat chrzanowski",2012,865514
"119",1204000,"Powiat dąbrowski",2012,260407
